縣市別代碼,行政區,地點,地址,X,Y
63000,63000010,7-11吉仁,延吉街27-1號,121.5536948,25.04603624
63000,63000010,7-11鑫壽,延壽街323號,121.5605373,25.05680002
63000,63000010,7-11延壽,延壽街422號,121.5564464,25.05622256
63000,63000010,7-11延新,延壽街99號,121.5662616,25.05719079
63000,63000010,7-11統威,東興路13之1號,121.5655337,25.05024653
63000,63000010,7-11南京,南京東路3段303巷5號,121.5466213,25.05256518
63000,63000010,7-11東光,南京東路5段23巷4號,121.558079,25.05205267
63000,63000010,7-11吉盛,南京東路5段66巷3弄1號,121.5609539,25.0509531
63000,63000010,7-11健一,健康路11號,121.5524513,25.05324546
63000,63000010,7-11東復,復興北路313巷25號,121.5462656,25.05905934
63000,63000010,7-11復惠,復興北路335號,121.5444215,25.05989845
63000,63000010,7-11錢京,敦化北路100號,121.5485686,25.05280225
63000,63000010,7-11庚塑,敦化北路199巷2弄9號,121.550038,25.05544824
63000,63000010,7-11松山富泰,新東街11巷28號,121.5648854,25.05805737
63000,63000010,7-11征東,新東街15巷1號,121.5658593,25.05852174
63000,63000010,7-11征唐,新東街41-7號,121.5653823,25.06076847
63000,63000010,7-11福源,新東街60巷16號,121.5660571,25.06202401
63000,63000010,7-11新育商,寧安街3巷11號,121.5549473,25.04896832
63000,63000010,7-11松慶,慶城街1號,121.5446323,25.05276091
63000,63000010,7-11塔優,撫遠街197號,121.5680997,25.0598134
63000,63000010,7-11聰明,寶清街34號,121.5677556,25.05272378
63000,63000010,全家鑫中崙店,八德路3段12巷51弄50號1樓,121.5523957,25.04607609
63000,63000010,全家常興店,五常街364號,121.5448869,25.06423742
63000,63000010,全家富泰店,民生東路5段204-3號,121.5647316,25.05829092
63000,63000010,全家興北店,民權東路3段103巷15-1號,121.5450603,25.06342588
63000,63000010,全家新德光店,光復南路32巷46-4號,121.5543331,25.04618952
63000,63000010,全家塔悠店,延壽街2號,121.5690801,25.05722932
63000,63000010,萊爾富北市敦化店,八德路3段12巷51弄2號,121.5508538,25.04608847
63000,63000010,萊爾富北市民權二店,民權東路5段32號,121.5644213,25.06284731
