項次,縣市別代碼,行政區,公園名稱,位置
545,63000,北 投,學園,"學園路,藝術學院門口旁."
546,63000,北 投,環保,公?路423巷6弄及8弄交叉口(環保公園).
547,63000,北 投,62號,三合街40巷29號旁.
548,63000,北 投,63號,三合街40巷起至三合街旁.
549,63000,北 投,64號,三合街二段409號旁.
550,63000,北 投,65號,公館路327巷旁.
551,63000,北 投,長安,育仁路109號對面(薇閣國小旁).
552,63000,北 投,磺港,"磺港路, 大興路交叉口."
553,63000,北 投,豐年,"大業路,中央北路2段交口."
554,63000,北 投,關渡,知行路210巷底.(關渡宮捐贈部分)
555,63000,北 投,觀海,中央北路4段601巷附近.
556,63000,北投,北投19號,中央南路2段71巷附近.
557,63000,北投,北投243號,中央北路4段與583巷所夾街廓.
558,63000,北投,中心,"泉源路41巷口附近,北投48號泉源公園南側."
559,63000,北 投,124,承德路六、7段前西側(福國路至立賢路間).
560,63000,北 投,134,吉利街369巷31弄旁(石牌綠帶系統) (私有、部分國有土地尚未取得).
561,63000,北 投,135,"承德路7段,文林北路口東側.(新工處闢建)"
562,63000,北 投,106號,建民路165之1及明德路旁(石牌綠帶系統)
563,63000,北 投,120號,承德路7段135號前西側.
564,63000,北 投,121號,承德路7段214號前東側.
565,63000,北 投,122號,承德路7段168號旁前東側.
566,63000,北 投,123號,承德路7段前西側.
567,63000,北 投,160號,大業路533-545號前.
568,63000,北 投,164號,"大業路東側,十信工商旁."
569,63000,北 投,165號,大業路452巷兩側.
570,63000,北 投,166號,大業路東側.
571,63000,北 投,167號,大業路400號東側.
572,63000,北 投,168號,大業路50號東側.
573,63000,北 投,169號,"大度路1段,承德路口南側."
574,63000,北 投,182號,大度路3段274號北側.
575,63000,北 投,183號,大度路3段北側.
576,63000,北 投,185號,大度路3段南側(關渡派出所後).
577,63000,北 投,186號,"大度路3段南側,知行路314號旁."
578,63000,北 投,187號,大度路3段南側.
579,63000,北 投,188號,大度路3段南側.
580,63000,北 投,191號,大度路2段北側.
581,63000,北 投,192號,大度路2段南側.
582,63000,北 投,213號,"文化三路,永興路1段交口"
583,63000,北 投,39號,聖景路140-168號(旺族社區旁)
584,63000,北 投,72號,行義路磺溪旁.
585,63000,北 投,88號,立農街202巷9弄(石牌綠帶系統)
586,63000,北 投,90號,石牌路護專前.
587,63000,北 投,91號,石牌路榮總前.
588,63000,北 投,92號,石牌路榮總前.
589,63000,北 投,98號,石牌路2段(捷運北淡線交叉口).
590,63000,北 投,一德,"大度路3段,中央北路4段(萬善宮旁)."
591,63000,北 投,大業,大業路西側(大度路至貴子坑溪).
592,63000,北 投,中和,中和街363號附近.
593,63000,北 投,天溪,中山北路7段219巷3弄旁.
594,63000,北 投,永和,行義路98號附近.
595,63000,北 投,永欣,天母北路105巷旁.
596,63000,北 投,田心仔,中央北路2段257巷東側(大業路525巷口至貴子坑溪).
597,63000,北 投,同德,同德街27巷旁.(主題公園：果樹公園)
598,63000,北 投,安明,光明路157巷2弄1號(七虎公園旁).
599,63000,北 投,奇岩四號,三合街1段、公館路口，清江國小周邊(奇岩新社區-綠一)
